name,x,y,z
ActiLingua Apartment Hotel Aparthotel  Boardinghouse,138.061531147,-373.964001849,-726.280294739
Adlon,38.7273909906,55.6621184797,-38.7655880456
Admiral,41.4028565064,-54.2556586124,-34.4507524399
Alexander Wien,-121.317645334,35.2086810211,59.5670902715
AllYouNeed Vienna 4,-253.20908352,126.29429929,112.060398869
AllYouNeed Vienna2,-263.749830114,103.346114148,101.462783041
Alla Lenz,117.063361192,36.7701048558,-103.619133576
Allegro,-16.4499053559,63.6961317703,52.6528840314
Alpha,207.613179834,-37.0712699995,46.706655815
Altmann,-144.071088477,202.752513236,35.2888304276
Altwienerhof,24.6161424523,-19.8142332706,80.9221568469
Am Brillantengrund,56.668055489,-10.6209434237,-84.1707998283
Am Schottenpoint,13.3666801908,-114.47794735,-29.9102631527
An der Wien,33.9795473483,-82.7766584762,-44.2484212957
Apartment24   Schoenbrunn Ferienwhg ,-211.677653052,279.848662233,167.313184293
Arpi,-34.9284394281,136.572926504,117.509866518
Art Hotel Vienna,-62.5746571207,-139.860232113,37.0768956758
Austria,162.062625978,10.5232302465,-221.22718503
Austria Classic   Wien,143.494271828,-151.075637612,-120.551352611
Austria Trend Hotel Messe Wien,53.4792060824,-10.1092121988,18.5327793021
Austria Trend beim Theresianum Wien,82.4545980265,-10.8490902686,-19.7484948758
Bajazzo,24.7150196675,-109.394875727,95.3361637261
Baron Am Schottentor,-79.584540816,-97.2906320771,-70.46307084
Bergwirt,-27.7261635865,-72.6840392233,2.50263445204
Bosch Pension,-16.4102891836,-57.4928582126,108.515636647
Boutiquehotel Stadthalle,192.783375397,-130.423825638,-77.9727520198
Carina,-43.5116233166,84.445436656,22.496143289
Carlton Opera,18.4146140945,-47.6800113015,-39.8136842318
Caroline,-15.0707763454,27.7079809873,16.403218067
Clima Cityhotel,27.5332362513,-34.12727029,-21.4868918503
Cryston,-90.8302131906,163.632663814,-218.973387879
Das Capri,259.900581217,-182.215984342,-43.9841201539
